time,x,y,yaw,speed,steering,lap_id,trial_id,lap_time,collision,collision_count,collision_x,collision_y,min_lidar_range
0.7705,0,0,0,0,0,0,0,0.7705,0,0,0,0,0.927016
0.774311,0,0,0,0,0,0,0,0.774311,0,0,0,0,0.927016
0.778894,0,0,0,0,0,0,0,0.778894,0,0,0,0,0.927016
0.782335,0,0,0,0,0,0,0,0.782335,0,0,0,0,0.927016
0.791394,0,0,0,0,0,0,0,0.791394,0,0,0,0,0.927016
0.792056,0,0,0,0,0,0,0,0.792056,0,0,0,0,0.927016
0.796138,0,0,0,0,0,0,0,0.796138,0,0,0,0,0.927016
0.798402,0,0,0,0,0,0,0,0.798402,0,0,0,0,0.927016
0.802443,0,0,0,0,0,0,0,0.802443,0,0,0,0,0.927016
0.806398,0,0,0,0,0,0,0,0.806398,0,0,0,0,0.927016
0.81036,0,0,0,0,0,0,0,0.81036,0,0,0,0,0.927016
0.814538,0,0,0,0,0,0,0,0.814538,0,0,0,0,0.927016
0.822307,0,0,0,0,0,0,0,0.822307,0,0,0,0,0.927016
0.826751,0,0,0,0,0,0,0,0.826751,0,0,0,0,0.927016
0.827084,0,0,0,0,0,0,0,0.827084,0,0,0,0,0.927016
0.830752,0,0,0,0,0,0,0,0.830752,0,0,0,0,0.927016
0.834695,0,0,0,0,0,0,0,0.834695,0,0,0,0,0.927016
0.838804,0,0,0,0,0,0,0,0.838804,0,0,0,0,0.927016
0.84293,0,0,0,0,0,0,0,0.84293,0,0,0,0,0.927016
0.850644,0,0,0,0,0,0,0,0.850644,0,0,0,0,0.927016
0.851489,0,0,0,0,0,0,0,0.851489,0,0,0,0,0.927016
0.856913,0,0,0,0,0,0,0,0.856913,0,0,0,0,0.927016
0.858386,0,0,0,0,0,0,0,0.858386,0,0,0,0,0.927016
0.862203,0,0,0,0,0,0,0,0.862203,0,0,0,0,0.927016
0.866648,0,0,0,0,0,0,0,0.866648,0,0,0,0,0.927016
0.870642,0,0,0,0,0,0,0,0.870642,0,0,0,0,0.927016
0.874404,0,0,0,0,0,0,0,0.874404,0,0,0,0,0.927016
0.878258,0,0,0,0,0,0,0,0.878258,0,0,0,0,0.927016
0.887199,0,0,0,0,0,0,0,0.887199,0,0,0,0,0.927016
0.887819,0,0,0,0,0,0,0,0.887819,0,0,0,0,0.927016
0.891889,0,0,0,0,0,0,0,0.891889,0,0,0,0,0.927016
0.894435,0,0,0,0,0,0,0,0.894435,0,0,0,0,0.927016
0.898509,0,0,0,0,0,0,0,0.898509,0,0,0,0,0.927016
0.903127,0,0,0,0,0,0,0,0.903127,0,0,0,0,0.927016
0.906851,0,0,0,0,0,0,0,0.906851,0,0,0,0,0.927016
0.913788,0,0,0,0,0,0,0,0.913788,0,0,0,0,0.927016
0.915927,0,0,0,0,0,0,0,0.915927,0,0,0,0,0.927016
0.918829,0,0,0,0,0,0,0,0.918829,0,0,0,0,0.927016
0.924722,0,0,0,0,0,0,0,0.924722,0,0,0,0,0.927016
